1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
339,CAN / CAN,אפשר/ יכול,SINGLE,https://vimeo.com/398627721,media339.m4v,6.895,4.056,3.146,2,מספריים,V.jpg,לא רלוונטי,N/A,מספריים,V.jpg,לא,IM,מוארכות,פרוסות כמו בסימון 4,חוצה,ללא מגע,כן,אותו,לא,שתי ידיים פונות לצדדים מנוגדים,"דינמי, משתנה",לא,לא רלוונטי,שטח נייטרלי,שטח נייטרלי,לא רלוונטי,סימטריה עם שימוש בשתי הידיים,כן,ישר,לא רלוונטי,אנכי (למעלה/למטה),לא רלוונטי,גבוה>נמוך,לא רלוונטי,לא,לא רלוונטי,לא בטוח,לא בטוח,אחת,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא
340,TO ASK,לבקש,SINGLE,https://vimeo.com/398627753,media340.mp4,6.684,6.556,5.902,2,צמודה,5-thumb.jpg,לא רלוונטי,N/A,צמודה,5-thumb.jpg,לא,TIMRP,מוארכות,צמודות כמו בסימון B,כלפי חוץ,ללא מגע,כן,אותו,מְחוּבָּר,שתי ידיים פונות לצדדים מנוגדים,למעלה,כן (מגע סימטרי ביד2 במרחב נייטרלי),מחובר,שטח נייטרלי,שטח נייטרלי,לא רלוונטי,סימטריה עם שימוש בשתי הידיים,כן,ישר,לא רלוונטי,חתך אמצעי (פנימה/החוצה),לא רלוונטי,קרוב>מרוחק,לא רלוונטי,לא,לא רלוונטי,לא,לא רלוונטי,מרובות,כן,סִימוּלטָנִי,לא (חד כיווני),לא,לא,לא,לא בטוח
341,PLEASE,בבקשה,SINGLE,https://vimeo.com/398628868,media341.mp4,6.737,5.889,4.341,2,צמודה,5-thumb.jpg,לא רלוונטי,N/A,צמודה,5-thumb.jpg,לא,TIMRP,מוארכות,צמודות כמו בסימון B,כלפי חוץ,ללא מגע,כן,אותו,מְחוּבָּר,למעלה,קדימה,לא,לא רלוונטי,שטח נייטרלי,שטח נייטרלי,לא רלוונטי,על קו האמצע,כן,ישר,לא רלוונטי,אלכסוני,לא רלוונטי,לא בטוח,לא רלוונטי,לא,לא רלוונטי,לא,לא רלוונטי,אחת,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא
342,BYE BYE,ביי ביי,SINGLE,https://vimeo.com/497646893,media342.mp4,6.737,6.389,6.951,1,צמודה,5-thumb.jpg,זָוִית,Bent.jpg,לא רלוונטי,N/A,לא,TIMRP,מוארכות,צמודות כמו בסימון B,כלפי חוץ,ללא מגע,לא רלוונטי,לא רלוונטי,לא רלוונטי,קדימה,למעלה,לא,לא רלוונטי,שטח נייטרלי,שטח נייטרלי - גבוה,לא רלוונטי,באותו הצד,לא,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,כן,כיפוף (אצבעות שלמות),לא,לא רלוונטי,מרובות,כן,לא רלוונטי,לא (חד כיווני),לא,לא,לא,לא
344,ENOUGH / ENOUGH (ENOUGH),די/ מספיק (מספיק),SINGLE,https://vimeo.com/398629001,media344.mp4,6.421,6.389,6.561,2,צמודה,5-thumb.jpg,לא רלוונטי,N/A,צמודה,5-thumb.jpg,לא,TIMRP,מוארכות,צמודות כמו בסימון B,כלפי חוץ,ללא מגע,כן,אותו,לא,קדימה,למעלה,כן (מגע סימטרי ביד2 במרחב נייטרלי),בתחילת הסימן,שטח נייטרלי,שטח נייטרלי,לא רלוונטי,סימטריה עם שימוש בשתי הידיים,כן,ישר,לא רלוונטי,אופקי (מצד לצד),לא רלוונטי,צד נגדי>צד דומיננטי,לא רלוונטי,לא,לא רלוונטי,לא,לא רלוונטי,אחת,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא
345,HI / HELLO / HI THERE (HELLO (2)),היי/ שלום/ אהלן (שלום (2)),SINGLE,https://vimeo.com/398629045,media345.mp4,6.842,6.611,6.878,1,פשוקה,5-Open.jpg,לא רלוונטי,N/A,לא רלוונטי,N/A,לא,TIMRP,מוארכות,פרוסות כמו בסימון 4,כלפי חוץ,ללא מגע,לא רלוונטי,לא רלוונטי,לא רלוונטי,קדימה,למעלה,לא,לא רלוונטי,שטח נייטרלי,שטח נייטרלי,לא רלוונטי,באותו הצד,כן,ישר,לא רלוונטי,אופקי (מצד לצד),לא רלוונטי,צד דומיננטי>צד נגדי,לא רלוונטי,לא,לא רלוונטי,לא,לא רלוונטי,מרובות,כן,לא רלוונטי,כן (דו כיווני),לא,לא,לא,לא בטוח
346,PAIN,כאב,SINGLE,https://vimeo.com/398629101,media346.mp4,6.474,4.167,2.805,2,מנהל,A-thumb.jpg,לא רלוונטי,N/A,מנהל,A-thumb.jpg,לא,T,מוארכות,לא רלוונטי,כלפי חוץ,ללא מגע,כן,אותו,מְחוּבָּר,שתי ידיים פונות לצדדים מנוגדים,למעלה,כן,באמצע הסימן,טוֹרסוֹ,טורסו עליון,לא רלוונטי,לא בטוח,כן,מעגל,לא רלוונטי,חתך אמצעי (פנימה/החוצה),לא רלוונטי,נגד כיוון השעון,לא רלוונטי,לא,לא רלוונטי,לא,לא רלוונטי,מרובות,כן,לסירוגין,לא (חד כיווני),לא,לא,לא,לא
347,ANGRY / ANGRY,כועס/ כועסת,SINGLE,https://vimeo.com/497646816,media347.mp4,6.158,4.389,3.415,1,טורפת,Claw.jpg,לא רלוונטי,N/A,לא רלוונטי,N/A,לא,TIMRP,מעוקמות ,פרוסות כמו בסימון 4,מנוגד,ללא מגע,לא רלוונטי,לא רלוונטי,לא רלוונטי,אחורה,לצד הנגדי,כן,באמצע הסימן,טוֹרסוֹ,טורסו עליון,לא רלוונטי,על קו האמצע,כן,לא בטוח,לא רלוונטי,חתך אמצעי (פנימה/החוצה),לא רלוונטי,עם כיוון השעון,לא רלוונטי,לא,לא רלוונטי,לא,לא רלוונטי,מרובות,כן,לא רלוונטי,לא (חד כיווני),לא,לא,לא,לא
348,TRUE (INDEED),נכון (אכן),SINGLE,https://vimeo.com/497646849,media348.mp4,6.895,4.556,2.463,1,צהוב,Y.jpg,לא רלוונטי,N/A,לא רלוונטי,N/A,לא,TP,מוארכות,לא רלוונטי,כלפי חוץ,ללא מגע,לא רלוונטי,לא רלוונטי,לא רלוונטי,"דינמי, משתנה",למעלה,לא,לא רלוונטי,שטח נייטרלי,שטח נייטרלי,לא רלוונטי,באותו הצד,לא,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא,לא רלוונטי,כן,סיבוב (כמו ״כן״),אחת,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא
349,NO,לא,SINGLE,https://vimeo.com/398629267,media349.mp4,6.842,5.778,6.927,1,אצבע,Index-1.jpg,לא רלוונטי,N/A,לא רלוונטי,N/A,לא,I,מוארכות,לא רלוונטי,משתנה,ללא מגע,לא רלוונטי,לא רלוונטי,לא רלוונטי,קדימה,למעלה,לא,לא רלוונטי,שטח נייטרלי,שטח נייטרלי,לא רלוונטי,על קו האמצע,כן,ישר,לא רלוונטי,אופקי (מצד לצד),לא רלוונטי,צד נגדי>צד דומיננטי,לא רלוונטי,לא,לא רלוונטי,לא,לא רלוונטי,אחת,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא
350,TALKING ON THE PHONE,לדבר בטלפון,SINGLE,https://vimeo.com/497646780,media350.mp4,5.895,6.500,6.488,1,צהוב,Y.jpg,לא רלוונטי,N/A,לא רלוונטי,N/A,לא,TP,מוארכות,לא רלוונטי,כלפי חוץ,ללא מגע,לא רלוונטי,לא רלוונטי,לא רלוונטי,"דינמי, משתנה","דינמי, משתנה",כן,בסוף הסימן,שני מיקומים,שטח נייטרלי,צד הפנים,באותו הצד,כן,U צורת האות ,לא רלוונטי,אלכסוני,לא רלוונטי,עם כיוון השעון,לא רלוונטי,לא,לא רלוונטי,לא בטוח,סיבוב (כמו ״כן״),אחת,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא
354,MORE,עוד,SINGLE,https://vimeo.com/497646737,media354.mp4,6.632,4.333,4.415,1,אצבע,Index-1.jpg,לא רלוונטי,N/A,לא רלוונטי,N/A,לא,I,מוארכות,לא רלוונטי,משתנה,ללא מגע,לא רלוונטי,לא רלוונטי,לא רלוונטי,"דינמי, משתנה","דינמי, משתנה",לא,לא רלוונטי,שטח נייטרלי,שטח נייטרלי,לא רלוונטי,באותו הצד,כן,קשת,לא רלוונטי,אנכי (למעלה/למטה),לא רלוונטי,נגד כיוון השעון,לא רלוונטי,לא,לא רלוונטי,כן,הנהון,אחת,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא
355,MUST,צריך,SINGLE,https://vimeo.com/398629470,media355.mp4,6.842,3.944,3.756,1,אצבע,Index-1.jpg,לא רלוונטי,N/A,לא רלוונטי,N/A,לא,I,מוארכות,לא רלוונטי,משתנה,ללא מגע,לא רלוונטי,לא רלוונטי,לא רלוונטי,לצד הנגדי,"דינמי, משתנה",לא,לא רלוונטי,שטח נייטרלי,שטח נייטרלי,לא רלוונטי,באותו הצד,כן,קשת,לא רלוונטי,חתך אמצעי (פנימה/החוצה),לא רלוונטי,עם כיוון השעון,לא רלוונטי,לא,לא רלוונטי,לא,לא רלוונטי,אחת,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא
356,THANKS,תודה,SINGLE,https://vimeo.com/398629798,media356.mp4,6.947,4.611,3.951,1,צמודה,5-thumb.jpg,לא רלוונטי,N/A,לא רלוונטי,N/A,לא,TIMRP,מוארכות,צמודות כמו בסימון B,כלפי חוץ,ללא מגע,לא רלוונטי,לא רלוונטי,לא רלוונטי,אחורה,למעלה,כן,בתחילת הסימן,רֹאשׁ,סנטר,לא רלוונטי,על קו האמצע,כן,ישר,לא רלוונטי,חתך אמצעי (פנימה/החוצה),לא רלוונטי,קרוב>מרוחק,לא רלוונטי,לא,לא רלוונטי,לא,לא רלוונטי,אחת,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא
357,TO LOVE (A PERSON),לאהוב (אדם),SINGLE,https://vimeo.com/398629841,media357.mp4,6.789,5.833,5.317,2,פשוקה,5-Open.jpg,לא רלוונטי,N/A,פשוקה,5-Open.jpg,לא,TIMRP,מוארכות,פרוסות כמו בסימון 4,כלפי חוץ,ללא מגע,כן,אותו,לא,אחורה,שתי ידיים פונות לצדדים מנוגדים,כן,בסוף הסימן,טוֹרסוֹ,טורסו עליון,לא רלוונטי,הצלבה,כן,ישר,לא רלוונטי,חתך אמצעי (פנימה/החוצה),לא רלוונטי,מרוחק>קרוב,לא רלוונטי,לא,לא רלוונטי,לא,לא רלוונטי,אחת,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא
358,TO LOVE/LIKE (A THING),לאהוב (חפץ),SINGLE,https://vimeo.com/398629871,media358.mp4,5.842,3.833,1.780,1,פשוקה,5-Open.jpg,טורפת,Claw.jpg,לא רלוונטי,N/A,לא,TIMRP,מוארכות,פרוסות כמו בסימון 4,כלפי חוץ,ללא מגע,לא רלוונטי,לא רלוונטי,לא רלוונטי,אחורה,למעלה,כן,בתחילת הסימן,רֹאשׁ,מצח ורקות (כמו כתר),לא רלוונטי,באותו הצד,כן,ישר,לא רלוונטי,חתך אמצעי (פנימה/החוצה),לא רלוונטי,קרוב>מרוחק,לא רלוונטי,כן,כיפוף (קצות אצבעות),לא,לא רלוונטי,אחת,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא
359,EAT,לאכול,SINGLE,https://vimeo.com/398629921,media359.mp4,6.895,6.722,6.707,1,רגע,Flat-O.jpg,לא רלוונטי,N/A,לא רלוונטי,N/A,לא,TIMRP,זווית,צמודות כמו בסימון B,מנוגד,סגור,לא רלוונטי,לא רלוונטי,לא רלוונטי,אחורה,למעלה,קירוב בלבד,בסוף הסימן,רֹאשׁ,פה,לא רלוונטי,על קו האמצע,לא,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא,לא רלוונטי,כן,הנהון,מרובות,כן,לא רלוונטי,לא (חד כיווני),לא,לא,לא,לא
360,TO CHOOSE,לבחור,SINGLE,https://vimeo.com/398629969,media360.mp4,6.579,4.778,4.000,1,פרפר מצביע,F-flat.jpg,לא רלוונטי,N/A,לא רלוונטי,N/A,לא,TI,זווית,לא רלוונטי,מנוגד,סגור,לא רלוונטי,לא רלוונטי,לא רלוונטי,"דינמי, משתנה","דינמי, משתנה",לא,לא רלוונטי,שטח נייטרלי,שטח נייטרלי,לא רלוונטי,באותו הצד,כן,ישר,לא רלוונטי,אנכי (למעלה/למטה),לא רלוונטי,נמוך>גבוה,לא רלוונטי,לא,לא רלוונטי,כן,הנהון,אחת,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא
361,CRYING (1),לבכות (1),SINGLE,https://vimeo.com/398632961,media361.mp4,6.474,6.889,6.268,2,אצבע,Index-1.jpg,לא רלוונטי,N/A,אצבע,Index-1.jpg,לא,I,מוארכות,לא רלוונטי,משתנה,ללא מגע,כן,אותו,לא,אחורה,למעלה,כן,מתמשך,רֹאשׁ,לחי,לא רלוונטי,סימטריה עם שימוש בשתי הידיים,כן,ישר,לא רלוונטי,אנכי (למעלה/למטה),לא רלוונטי,גבוה>נמוך,לא רלוונטי,לא,לא רלוונטי,לא,לא רלוונטי,מרובות,כן,לסירוגין,לא (חד כיווני),לא,לא,לא,לא
362,BUILD,לבנות,SINGLE,https://vimeo.com/497646703,media362.mp4,5.737,6.333,6.220,2,צמודה,5-thumb.jpg,לא רלוונטי,N/A,צמודה,5-thumb.jpg,לא,TIMRP,מוארכות,צמודות כמו בסימון B,כלפי חוץ,ללא מגע,כן,אותו,לא,למטה,שתי ידיים פונות לצדדים מנוגדים,כן,באמצע הסימן,שני מיקומים,פנים כף היד,שטח נייטרלי,לא רלוונטי (על בסיס היד הלא דומיננטית),כן,לא בטוח,ישר,אופקי (מצד לצד),אנכי (למעלה/למטה),נמוך>גבוה,נמוך>גבוה,לא,לא רלוונטי,לא,לא רלוונטי,מרובות,לא,לסירוגין,לא (חד כיווני),כן,כן,לא,לא
363,KICK,לבעוט,SINGLE,https://vimeo.com/497646626,media363.mp4,5.263,5.722,3.902,2,אגרוף,Fist.jpg,לא רלוונטי,N/A,צמודה,5-thumb.jpg,לא,TIMRP,סגורות,לא רלוונטי,משתנה,ללא מגע,לא,שונה,לא,"דינמי, משתנה",אַחֵר,כן,בסוף הסימן,יד 2,פנים כף היד,לא רלוונטי,לא רלוונטי (על בסיס היד הלא דומיננטית),כן,אחר,לא רלוונטי,חתך אמצעי (פנימה/החוצה),לא רלוונטי,נגד כיוון השעון,לא רלוונטי,לא,לא רלוונטי,לא בטוח,הנהון,אחת,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא
364,CONGRATULATE,לברך,SINGLE,https://vimeo.com/398633067,media364.mp4,6.000,4.778,1.854,2,צמודה,5-thumb.jpg,לא רלוונטי,N/A,צמודה,5-thumb.jpg,לא,TIMRP,מוארכות,צמודות כמו בסימון B,כלפי חוץ,ללא מגע,כן,אותו,לא,למטה,קדימה,לא,לא רלוונטי,שטח נייטרלי,שטח נייטרלי - גבוה,לא רלוונטי,סימטריה עם שימוש בשתי הידיים,כן,ישר,לא רלוונטי,חתך אמצעי (פנימה/החוצה),לא רלוונטי,קרוב>מרוחק,לא רלוונטי,לא,לא רלוונטי,לא,לא רלוונטי,מרובות,כן,לסירוגין,לא (חד כיווני),לא,לא,לא,לא
365,FINISHED,סיים/גמר 1,SINGLE,https://vimeo.com/398633122,media365.mp4,6.789,4.333,4.512,2,צמודה,5-thumb.jpg,לא רלוונטי,N/A,צמודה,5-thumb.jpg,לא,TIMRP,מוארכות,צמודות כמו בסימון B,כלפי חוץ,ללא מגע,לא,אותו,לא,אחורה,"דינמי, משתנה",קירוב בלבד,מתמשך,שני מיקומים,גב כף היד,שטח נייטרלי,לא רלוונטי (על בסיס היד הלא דומיננטית),כן,קשת,לא רלוונטי,אנכי (למעלה/למטה),לא רלוונטי,נגד כיוון השעון,לא רלוונטי,לא,לא רלוונטי,לא,לא רלוונטי,אחת,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא
366,TO TOUCH,לגעת,SINGLE,https://vimeo.com/497646669,media366.mp4,6.579,6.444,5.463,2,צמודה,5-thumb.jpg,לא רלוונטי,N/A,צמודה,5-thumb.jpg,לא,TIMRP,מוארכות,צמודות כמו בסימון B,כלפי חוץ,ללא מגע,לא,אותו,לא,למטה,אַחֵר,כן,בסוף הסימן,יד 2,גב כף היד,לא רלוונטי,לא רלוונטי (על בסיס היד הלא דומיננטית),כן,ישר,לא רלוונטי,אנכי (למעלה/למטה),לא רלוונטי,גבוה>נמוך,לא רלוונטי,לא,לא רלוונטי,לא,לא רלוונטי,אחת,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא
367,SPEAK,לדבר,SINGLE,https://vimeo.com/398633229,media367.mp4,6.632,5.722,4.171,1,דומה,Flat-V-thumb(U-swear).jpg,לא בטוח,Unknown-handshape.jpg,לא רלוונטי,N/A,לא,TIM,זווית,פרוסות כמו בסימון 4,מנוגד,ללא מגע,לא רלוונטי,לא רלוונטי,לא רלוונטי,קדימה,למעלה,לא,לא רלוונטי,שני מיקומים,שטח נייטרלי - גבוה,פה,על קו האמצע,כן,מעגל,ישר,חתך אמצעי (פנימה/החוצה),אנכי (למעלה/למטה),נגד כיוון השעון,לא בטוח,כן,סגירה,לא,לא רלוונטי,מרובות,כן,לא רלוונטי,לא (חד כיווני),לא בטוח,לא,לא,לא
368,SPEAK [SIGN LANGUAGE],לדבר [בשפת הסימנים],SINGLE,https://vimeo.com/497646584,media368.mp4,6.842,6.556,2.610,2,פשוקה,5-Open.jpg,לא רלוונטי,N/A,פשוקה,5-Open.jpg,לא,TIMRP,מוארכות,פרוסות כמו בסימון 4,כלפי חוץ,ללא מגע,כן,אותו,לא,שתי ידיים פונות לצדדים מנוגדים,"דינמי, משתנה",לא,לא רלוונטי,שטח נייטרלי,שטח נייטרלי,לא רלוונטי,על קו האמצע,לא בטוח,ישר,לא רלוונטי,אנכי (למעלה/למטה),לא רלוונטי,גבוה>נמוך,לא רלוונטי,לא,לא רלוונטי,כן,הטייה על ציר (כמו ״אום אל פאחם״) ,מרובות,כן,לסירוגין,כן (דו כיווני),לא,לא,לא,לא
369,TICKLE,לדגדג,SINGLE,https://vimeo.com/497646551,media369.mp4,5.579,5.889,6.683,1,אשדוד,claw-thumbout.jpg,לא רלוונטי,N/A,לא רלוונטי,N/A,לא,IMRP,מאונקלות (כמו וו),פרוסות כמו בסימון 4,כלפי חוץ,ללא מגע,לא רלוונטי,לא רלוונטי,לא רלוונטי,אחורה,לצד הנגדי,כן,מחובר,טוֹרסוֹ,בית שחי,לא רלוונטי,בצד השני,לא,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,כן,ניענוע (כמו ״מתמטיקה״),לא,לא רלוונטי, לא בטוח (תנועת רעד) ,כן,לא רלוונטי,לא בטוח,לא,לא,לא,כן
370,TO PUSH,לדחוף,SINGLE,https://vimeo.com/497646477,media370.mp4,6.105,6.667,6.756,2,פשוקה,5-Open.jpg,לא רלוונטי,N/A,פשוקה,5-Open.jpg,לא,TIMRP,מוארכות,פרוסות כמו בסימון 4,כלפי חוץ,ללא מגע,כן,אותו,מְחוּבָּר,קדימה,למעלה,לא,לא רלוונטי,שטח נייטרלי,שטח נייטרלי,לא רלוונטי,על קו האמצע,כן,ישר,לא רלוונטי,חתך אמצעי (פנימה/החוצה),לא רלוונטי,קרוב>מרוחק,לא רלוונטי,לא,לא רלוונטי,לא,לא רלוונטי,אחת,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא
372,BRING,להביא,SINGLE,https://vimeo.com/398633462,media372.mp4,6.895,4.722,3.220,2,צהוב,Y.jpg,לא רלוונטי,N/A,צהוב,Y.jpg,לא,TP,מוארכות,לא רלוונטי,כלפי חוץ,ללא מגע,כן,אותו,מְחוּבָּר,אחורה,למעלה,לא,לא רלוונטי,שטח נייטרלי,שטח נייטרלי,לא רלוונטי,על קו האמצע,כן,קשת,לא רלוונטי,אופקי (מצד לצד),לא רלוונטי,נגד כיוון השעון,לא רלוונטי,לא,לא רלוונטי,לא,לא רלוונטי,אחת,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא
373,SAY,להגיד,SINGLE,https://vimeo.com/398633501,media373.mp4,7.000,6.167,6.195,1,אצבע,Index-1.jpg,לא רלוונטי,N/A,לא רלוונטי,N/A,לא,I,מוארכות,לא רלוונטי,משתנה,ללא מגע,לא רלוונטי,לא רלוונטי,לא רלוונטי,"דינמי, משתנה","דינמי, משתנה",כן,בתחילת הסימן,רֹאשׁ,פה,לא רלוונטי,על קו האמצע,כן,קשת,לא רלוונטי,חתך אמצעי (פנימה/החוצה),לא רלוונטי,עם כיוון השעון,לא רלוונטי,לא,לא רלוונטי,אולי,הנהון,אחת,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא
374,LIGHT A MATCH,להדליק (גפרור),SINGLE,https://vimeo.com/398633555,media374.mp4,5.632,5.722,6.561,2,פרפר,F-curved.jpg,לא רלוונטי,N/A,פרפר,F-curved.jpg,לא,TI,מעוקמות ,לא רלוונטי,מנוגד,סגור,לא,אותו,לא,"דינמי, משתנה","דינמי, משתנה",כן,בתחילת הסימן,יד 2,קצות האצבעות,לא רלוונטי,לא רלוונטי (על בסיס היד הלא דומיננטית),כן,קשת,לא רלוונטי,חתך אמצעי (פנימה/החוצה),לא רלוונטי,נגד כיוון השעון,לא רלוונטי,לא,לא רלוונטי,כן,סיבוב (כמו ״כן״),אחת,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא
375,BRING DOWN,להוריד,UNSURE,https://vimeo.com/497646508,media375.mp4,6.000,5.444,5.146,2,להעתיק,Spray.jpg,O,O.jpg,5,5.jpg,לא,TIMRP,זווית,פרוסות כמו בסימון 4,מנוגד,ללא מגע,לא,שונה,לא,"דינמי, משתנה","דינמי, משתנה",כן (מגע סימטרי ביד2 במרחב נייטרלי),בתחילת הסימן,שני מיקומים,פנים כף היד,שטח נייטרלי - נמוך,על קו האמצע,כן,ישר,ישר,אופקי (מצד לצד),אנכי (למעלה/למטה),צד נגדי>צד דומיננטי,גבוה>נמוך,כן,סגירה,כן,הנהון,מרובות,לא,לא רלוונטי,לא (חד כיווני),לא,לא,כן,לא
376,TO HIDE (SOMETHING/ONESELF),להחביא/להתחבא,SINGLE,https://vimeo.com/497646434,media376.mp4,5.474,5.389,2.829,2,צמודה,5-thumb.jpg,לא רלוונטי,N/A,צמודה,5-thumb.jpg,לא,TIMRP,מוארכות,צמודות כמו בסימון B,כלפי חוץ,ללא מגע,כן,אותו,לא,שתי ידיים פונות לצדדים מנוגדים,למעלה,קירוב בלבד,מתמשך,רֹאשׁ,פנים/ראש,לא רלוונטי,על קו האמצע,כן,ישר,לא רלוונטי,אופקי (מצד לצד),לא רלוונטי,צד דומיננטי>צד נגדי,לא רלוונטי,לא,לא רלוונטי,לא,לא רלוונטי,מרובות,כן,לסירוגין,כן (דו כיווני),לא,לא,לא,לא
377,TO HOLD,להחזיק,SINGLE,https://vimeo.com/398633700,media377.mp4,6.158,5.611,5.756,2,אגרוף,Fist.jpg,לא רלוונטי,N/A,אגרוף,Fist.jpg,לא,TIMRP,סגורות,לא רלוונטי,משתנה,ללא מגע,כן,אותו,לא,שתי ידיים פונות לצדדים מנוגדים,קדימה,לא,לא רלוונטי,שטח נייטרלי,שטח נייטרלי,לא רלוונטי,סימטריה עם שימוש בשתי הידיים,לא,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא,לא רלוונטי,לא,לא רלוונטי,אין (החזקה),לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי
378,REPLACE,להחליף,SINGLE,https://vimeo.com/398633752,media378.mp4,6.316,5.556,5.659,2,אצבע,Index-1.jpg,לא רלוונטי,N/A,אצבע,Index-1.jpg,לא,I,מוארכות,לא רלוונטי,משתנה,ללא מגע,כן,אותו,לא,אחורה,למטה/למעלה (2 ידיים),לא,לא רלוונטי,שטח נייטרלי,שטח נייטרלי,לא רלוונטי,על קו האמצע,כן,מעגל,לא רלוונטי,אופקי (מצד לצד),לא רלוונטי,עם כיוון השעון,לא רלוונטי,לא,לא רלוונטי,כן,סיבוב (כמו ״כן״),מרובות,כן,לסירוגין,לא (חד כיווני),לא,לא,לא,לא
379,TO STRIKE,להכות,SINGLE,https://vimeo.com/497642651,media379.mp4,5.158,6.167,6.439,1,אגרוף,Fist.jpg,לא רלוונטי,N/A,לא רלוונטי,N/A,לא,TIMRP,סגורות,לא רלוונטי,משתנה,ללא מגע,לא רלוונטי,לא רלוונטי,לא רלוונטי,"דינמי, משתנה","דינמי, משתנה",לא,לא רלוונטי,שטח נייטרלי,שטח נייטרלי,לא רלוונטי,על קו האמצע,כן,ישר,לא רלוונטי,אלכסוני,לא רלוונטי,צד דומיננטי>צד נגדי,לא רלוונטי,לא,לא רלוונטי,לא,לא רלוונטי,אחת,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא
380,BEAT,להרביץ,SINGLE,https://vimeo.com/497642614,media380.mp4,5.789,6.333,6.293,1,צמודה,5-thumb.jpg,לא רלוונטי,N/A,לא רלוונטי,N/A,לא,TIMRP,מוארכות,צמודות כמו בסימון B,כלפי חוץ,ללא מגע,לא רלוונטי,לא רלוונטי,לא רלוונטי,למעלה,קדימה,לא,לא רלוונטי,שטח נייטרלי,שטח נייטרלי,לא רלוונטי,על קו האמצע,כן,ישר,לא רלוונטי,אלכסוני,לא רלוונטי,צד דומיננטי>צד נגדי,לא רלוונטי,לא,לא רלוונטי,לא,לא רלוונטי,אחת,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא רלוונטי,לא
